amount,txn_type,rail,balance,ref_id,card_last4,upi_vpa,merchant,date,bank,confidence_score,bucket,original_sms,sender,timestamp,raw_hash,composite_key,penalties,signals,is_duplicate,duplicate_reason
10.0,TransactionType.CREDIT,Rail.UPI,,UPI_560418680002,,,paytmqr694nsdfzzt,2025-08-26,HDFC,85.0,BucketType.BANK_LEDGER_SUCCESS,Txn Rs.10.00 On HDFC Bank Card 5279 At paytmqr694nsdfzzt@paytm by UPI 560418680002 On 26-08 Not You? Call 18002586161/SMS BLOCK CC 5279 to 7308080808,AD-HDFCBK-S,2025-08-26 13:27:38,04b370630162e71f60020780ddc9430c,cd2cfb7d23fd0dbb,[],"['amount_present', 'rail_cue']",False,
586.4,TransactionType.CREDIT,Rail.CARD,,GEN_378281b4f1da,,,,2025-08-25,IDFC,85.0,BucketType.BANK_LEDGER_SUCCESS,Thank you for payment of INR 586.40 towards your FIRST Millennia Credit Card XX2960 on 25 Aug 2025. IDFC FIRST Bank,VM-IDFCFB-S,2025-08-25 20:46:29,fe4f3b94478b87cf9e8462394b150739,4fab9282ae45faaa,[],"['amount_present', 'rail_cue']",False,
,,Rail.UPI,,GEN_517e00948f6c,,,another UPI App,2025-08-25,,25.0,BucketType.AMBIGUOUS,"You have ported your UPI Number - 8200748640 from BHIM to another UPI App, you can reclaim this number from UPI Number manager on BHIM. NPCI",AX-BHIMAP-S,2025-08-25 19:42:46,d8cff7a296c02e72c8d9ed1df0915532,d5626ba0183ca1c3,[],['rail_cue'],False,
19.0,TransactionType.CREDIT,Rail.UPI,,GEN_1ac5fc478341,,,,2025-08-24,YES,85.0,BucketType.BANK_LEDGER_SUCCESS,"UPI AutoPay Mandate is successfully Revoked towards DainikBhaskar for Rs.19.00, 868498fede27414eb9349b7b6517d5b7@ybl. -YES BANK LTD",VM-YESBAK-S,2025-08-24 03:45:32,b609578a1a9f84fd3fabe7b594c82e16,051cf47baee63c14,[],"['amount_present', 'rail_cue']",False,
7052.0,TransactionType.CREDIT,Rail.CARD,,GEN_92749a91896f,,,,2025-08-23,IndusInd,85.0,BucketType.BANK_LEDGER_SUCCESS,Account Alert: Manage your IndusInd Bank Credit Card outstanding better. Convert INR 7052 into EMIs. View: https://inbl.in/INDUSB/MPGZMnKXwJ -IndusInd Bank,VM-INDUSB-S,2025-08-23 16:01:03,084fc680e748e8159e3ecedd1b112e6b,a56d549a50170f3c,[],"['amount_present', 'rail_cue']",False,
,,Rail.UNKNOWN,,GEN_4c61a4281019,,,,2025-08-23,,0.0,BucketType.AMBIGUOUS,શું તમે પોતાને અને સાથી નાગરિકોને સાયબર ફ્રોડથી બચાવવા માંગો છો? સંચાર સાથી પોર્ટલ અને મોબાઇલ એપ તમને ફ્રોડ કોલ્સ અને એસએમએસની સરળ રીતે ફરિયાદ કરવામાં મદદ કરે છે. કૃપા કરીને ફરિયાદ કરો સંચાર સાથી પોર્ટલ www.sancharsaathi.gov.in પર. આજે જ સંચાર સાથી એપ ડાઉનલોડ કરો. એન્ડ્રોઇડ: https://play.google.com/store/apps/details?id=com.dot.app.sancharsaathi આઈઓએસ: https://apps.apple.com/in/app/sanchar-saathi/id6739700695,JG-DOTGOI-G,2025-08-23 07:43:39,fc0c250f897be8c9e9bf7e8e77c7729c,2d161cd8d6c1e103,[],[],False,
757.83,TransactionType.CREDIT,Rail.CARD,,GEN_30e2b4535b55,,,,2025-08-22,,85.0,BucketType.BANK_LEDGER_SUCCESS,Youve booked a blockbuster entertainment for Rs. 757.83 on Playstation Network with card ending XX6642. Unveil reward pts: 1crd.in/OneCrd/txns -Team OneCard,AD-OneCrd-S,2025-08-22 16:01:30,125721843d7dc516207f66dc98db38f2,02a909f1211bc9bb,[],"['amount_present', 'rail_cue']",False,
100.0,TransactionType.CREDIT,Rail.CARD,,GEN_1f921e0e4af1,,,access eStatement use your date of birth in DDMM format Payment Due by 04-09-2025 Min Due,2025-08-22,IDFC,85.0,BucketType.BANK_LEDGER_SUCCESS,The eStatement for your FIRST Millennia Credit Card XX2960 is here https://idfcfr.in/IDFCFB/YQA7pn To access eStatement use your date of birth in DDMM format Payment Due by 04-09-2025 Min Due: INR 100.00 Total Due: INR 586.40 Click to pay: https://idfcfr.in/IDFCFB/PudQZc IDFC FIRST Bank,JK-IDFCFB-S,2025-08-22 14:54:08,63cd4346c4a925404330f698e2f778b3,b4d678e4bc3bd826,[],"['amount_present', 'rail_cue']",False,
,,Rail.CARD,,GEN_0844a5101b76,,,Readdy Ai has been processed on card ending XX6642 & earned some reward points,2025-08-22,,25.0,BucketType.AMBIGUOUS,Your payment of USD 15.20 at Readdy Ai has been processed on card ending XX6642 & earned some reward points: 1cardapp.page.link/txns -Team OneCard,AD-OneCrd-S,2025-08-22 02:34:33,9c2267e04f7df352458a4c3dea0ab641,e929f5d030957ed4,[],['rail_cue'],False,
,,Rail.UNKNOWN,,UPI_919838634876,,,take calls.,2025-08-20,,0.0,BucketType.AMBIGUOUS,"Dear Customer, +919838634876 is now available to take calls.",+919838634876,2025-08-20 19:19:48,82c54bf509292903836d6b62bda932a9,a20a4c848e34ebaa,[],[],False,
