amount,txn_type,rail,balance,ref_id,card_last4,upi_vpa,merchant,date,bank,confidence_score,bucket,original_sms,sender,timestamp,raw_hash,composite_key,penalties,signals,is_duplicate,duplicate_reason
,,Rail.UNKNOWN,,,,,choose from. Invest now a.aubnk.in,2024-09-12,AU,0.0,BucketType.INVESTMENT_OR_REMINDER,Start building your financial portfolio with wide range of MF schemes to choose from. Invest now a.aubnk.in/331e2ooZ T&C apply. - AU Bank,VM-AUBANK,2024-09-12 19:03:39,,,['sip_amc'],[],False,
,,Rail.UNKNOWN,,,,,choose from. Invest now a.aubnk.in,2024-09-12,AU,0.0,BucketType.INVESTMENT_OR_REMINDER,Start building your financial portfolio with wide range of MF schemes to choose from. Invest now a.aubnk.in/331e2ooZ T&C apply. - AU Bank,VM-AUBANK,2024-09-12 19:03:39,,,['sip_amc'],[],False,
789.0,,Rail.UNKNOWN,,,,,Sip More,2024-09-12,,15.0,BucketType.INVESTMENT_OR_REMINDER,"Dear Kushal!, Get ready to Sip More, Spend Less!!! Introducing Starbucks Subscriptions, exclusively for YOU - Get 3 of your beloved Starbucks core beverages for just INR 789*! Click bit.ly/StarbucksBevSub to secure your subscription on the Starbucks app. T&C Apply, subscription period ends 30th September 2024 - bit.ly/TnCBeverageSubscription. -TATA STARBUCKS",JM-SBUXIN,2024-09-12 09:06:00,,,['sip_amc'],['amount_present'],False,
789.0,,Rail.UNKNOWN,,,,,Sip More,2024-09-12,,15.0,BucketType.INVESTMENT_OR_REMINDER,"Dear Kushal!, Get ready to Sip More, Spend Less!!! Introducing Starbucks Subscriptions, exclusively for YOU - Get 3 of your beloved Starbucks core beverages for just INR 789*! Click bit.ly/StarbucksBevSub to secure your subscription on the Starbucks app. T&C Apply, subscription period ends 30th September 2024 - bit.ly/TnCBeverageSubscription. -TATA STARBUCKS",JM-SBUXIN,2024-09-12 09:06:00,,,['sip_amc'],['amount_present'],False,
,,Rail.UNKNOWN,,,,,,2024-09-05,AU,0.0,BucketType.INVESTMENT_OR_REMINDER,"Explore a variety of mutual fund schemes and start your SIP today! Don't wait, Invest now! a.aubnk.in/Bma5olO3 T&C Apply. - AU Bank",VD-AUBANK,2024-09-05 19:04:57,,,['sip_amc'],[],False,
,,Rail.UNKNOWN,,,,,,2024-09-05,AU,0.0,BucketType.INVESTMENT_OR_REMINDER,"Explore a variety of mutual fund schemes and start your SIP today! Don't wait, Invest now! a.aubnk.in/Bma5olO3 T&C Apply. - AU Bank",VD-AUBANK,2024-09-05 19:04:57,,,['sip_amc'],[],False,
789.0,,Rail.UNKNOWN,,,,,Sip More,2024-08-22,,15.0,BucketType.INVESTMENT_OR_REMINDER,"Dear Kushal!, Get ready to Sip More, Spend Less!!! Introducing Starbucks Subscriptions, exclusively for YOU - Get 3 of your beloved Starbucks core beverages for just INR 789*! Click bit.ly/StarbucksBevSub to secure your subscription on the Starbucks app. T&C Apply, subscription period ends 31st August 2024 - bit.ly/TnCBeverageSubscription. -TATA STARBUCKS",JD-SBUXIN,2024-08-22 09:01:10,,,['sip_amc'],['amount_present'],False,
789.0,,Rail.UNKNOWN,,,,,Sip More,2024-08-22,,15.0,BucketType.INVESTMENT_OR_REMINDER,"Dear Kushal!, Get ready to Sip More, Spend Less!!! Introducing Starbucks Subscriptions, exclusively for YOU - Get 3 of your beloved Starbucks core beverages for just INR 789*! Click bit.ly/StarbucksBevSub to secure your subscription on the Starbucks app. T&C Apply, subscription period ends 31st August 2024 - bit.ly/TnCBeverageSubscription. -TATA STARBUCKS",JD-SBUXIN,2024-08-22 09:01:10,,,['sip_amc'],['amount_present'],False,
789.0,,Rail.UNKNOWN,,,,,Sip More,2024-08-11,,15.0,BucketType.INVESTMENT_OR_REMINDER,"Dear Kushal!, Get ready to Sip More, Spend Less!!! Introducing Starbucks Subscriptions, exclusively for YOU - Get 3 of your beloved Starbucks core beverages for just INR 789*! Click bit.ly/StarbucksBevSub to secure your subscription on the Starbucks app. T&C Apply, subscription period ends 31st August 2024 - bit.ly/TnCBeverageSubscription. -TATA STARBUCKS",JD-SBUXIN,2024-08-11 09:33:14,,,['sip_amc'],['amount_present'],False,
789.0,,Rail.UNKNOWN,,,,,Sip More,2024-08-11,,15.0,BucketType.INVESTMENT_OR_REMINDER,"Dear Kushal!, Get ready to Sip More, Spend Less!!! Introducing Starbucks Subscriptions, exclusively for YOU - Get 3 of your beloved Starbucks core beverages for just INR 789*! Click bit.ly/StarbucksBevSub to secure your subscription on the Starbucks app. T&C Apply, subscription period ends 31st August 2024 - bit.ly/TnCBeverageSubscription. -TATA STARBUCKS",JD-SBUXIN,2024-08-11 09:33:14,,,['sip_amc'],['amount_present'],False,
